,formatted_address,input_address,latitude,longitude,no_of_results,status
71,"Coffee City, TX, USA","4661 Hazy Autoroute, Coffee City, IL",32.128173,-95.4987245,2,OK
72,"Georgia, USA","4540 Silent Villas, Cinderella, GA",32.1656221,-82.9000751,1,OK
73,"Merry View Ln, Fort Worth, TX 76120, USA","2149 Merry View Hill, Klickitat, TX",32.7393171,-97.1815692,1,OK
74,"239 Billy Cove Rd, Sylva, NC 28779, USA","239 Green Quay, Dilly, WY",35.314805,-83.28391979999999,2,OK
75,"Thrashers Corner, Bothell, WA 98021, USA","4351 Emerald Beach, Thrashers Corner, AK",47.8089866,-122.2079056,1,OK
76,"1689 Osprey Bend, Weston, FL 33327, USA","1689 Osprey Bend, Weston, FL",26.1264403,-80.4164385,1,OK
77,"Satsop, WA 98541, USA","7033 Jagged Turnabout, Satsop, HI",47.0031512,-123.4834945,1,OK
78,,"3168 Easy Way, Buchanan, AK",,,0,ZERO_RESULTS
79,"Virginia, USA","5185 Silver Panda Freeway, Rembrandt, VA",37.4315734,-78.6568942,1,OK
80,"Western Australia, Australia","3483 Middle Robin Lane, Snow Tent, WA",-27.6728168,121.6283098,1,OK
81,"Jupiter, FL 33477, USA","75 East Indiantown Road, Concourse Village Shopping Center, Jupiter, FL",26.9352309,-80.09232519999999,1,OK
82,"Pennsylvania, USA","9561 Amber Leaf Mountain, Hat Creek, PA",41.2033216,-77.1945247,1,OK
83,,"7609 Cinder Treasure Lookout, Bootleg, HI",,,0,ZERO_RESULTS
84,"747 Golden Ave, Excelsior Springs, MO 64024, USA","747 Golden Gardens, Village Thirteen, KS",39.3606279,-94.2306765,2,OK
85,"Chapultepee, Ettrick, WI 54627, USA","6143 Tawny Branch Valley, Chapultepee, ID",44.2230142,-91.2812698,1,OK
86,"Alaska, USA","3323 Little Ramp, Milk River, AK",64.2008413,-149.4936733,1,OK
87,"Arizona, USA","91 Wishing Plaza, Modest, AZ",34.0489281,-111.0937311,1,OK
88,"69 Clark Dr, Russellville, AL 35654, USA","69 Clark Drive, Russellville, AL",34.4802285,-87.72716989999999,1,OK
89,"Daysland, AB T0B 1A0, Canada","6163 Old Subdivision, Daysland, ME",52.8655076,-112.2616348,1,OK
90,"Lumpkin, GA 31815, USA","470 Thunder Green, Lumpkin, AR",32.0509895,-84.7990901,1,OK
91,"Land-O-Pines Family Campground, 17145 Million Dollar Rd, Covington, LA 70435, USA","8868 Colonial Rise Orchard, Land of Pines, PA",30.5761133,-90.1355135,1,OK
92,"3177 Lexington Rd, Louisville, KY 40206, USA","4390 Sunny Mews, Sacred Heart, KY",38.2488798,-85.6720162,1,OK
93,"Rocky Cape TAS 7321, Australia","9994 Rocky Cape, Goodtown, TN",-40.9175428,145.4782351,2,OK
94,"Chuckanut Dr, Washington, USA","4791 Umber Panda Grounds, Chuckanut, MO",48.5945323,-122.4217819,1,OK
95,"Gentle Cloud Court, Las Vegas, NV 89148, USA","9134 Gentle Cloud Avenue, Speers, MN",36.0666862,-115.2877145,1,OK
96,"Drumright, OK 74030, USA","6307 Dusty Sky Bend, Drumright, TN",35.9884013,-96.60112939999999,2,OK
97,"Prairie, ID 83647, USA","9592 Noble Rabbit Crest, X-Prairie, ID",43.504894,-115.5739813,1,OK
98,"107 E 3rd Ave, Crossett, AR 71635, USA","107 East 3rd Avenue, Crossett, AR 71635",33.132316,-91.96064799999999,1,OK
99,"Shady Point, OK 74956, USA","6628 Shady Point, Weeping Mary, MA",35.1300975,-94.65855780000001,1,OK
100,"Contoocook, Hopkinton, NH 03229, USA","6140 Thunder Wood, Contoocook, MN",43.2220234,-71.7139655,2,OK
101,"Derry, NH 03038, USA","91 Tower Dr., Derry, NH 03038",42.8806437,-71.3273346,1,OK
102,"Biloxi, MS 39532, USA","29 E. Woodsman Street, Biloxi, MS 39532",30.5007553,-88.96053649999999,1,OK
103,"Lancaster Rd, Greensboro, NC 27410, USA","19 Lancaster Street, Greensboro, NC 27405",36.0872599,-79.8729393,1,OK
104,"Chesterton Terrace, Henderson, Auckland 0612, New Zealand","811 Swanson St., Chesterton, IN 46304",-36.8807204,174.6092517,1,OK
105,"470 Locust St, Reno, NV 89502, USA","470 Locust Drive Reno, NV 89523",39.5213626,-119.8003628,1,OK
106,"425 Medical Dr, Bountiful, UT 84010, USA","105 Mountainview St., Bountiful, UT 84010",40.8852511,-111.8667729,1,OK
107,"Taylor, MI 48180, USA","41 Ashley Ave., Taylor, MI 48180",42.2164077,-83.2720082,1,OK
108,"40 Wilmette Ave, Glenview, IL 60025, USA","40 N. Arch Road, Wilmette, IL 60091",42.0723577,-87.76330659999999,1,OK
109,"Madison St, Sulphur, LA 70663, USA","7139 Madison Dr. Sulphur, LA 70663",30.2223211,-93.32974689999999,1,OK
110,"Hill Rd, Owosso, MI 48867, USA","838 Corona Rd. Owosso, MI 48867",43.107943,-84.1388657,1,OK
111,"Edison, NJ 08817, USA","59 E. Philmont Rd., Edison, NJ 08817",40.5054763,-74.3939339,1,OK
112,"Chesterfield, VA 23832, USA","7474 Carpenter St. Chesterfield, VA 23832",37.3770935,-77.5049863,1,OK
113,"9711 S Kolin Ave, Oak Lawn, IL 60453, USA","17 Gonzales Street Oak Lawn, IL 60453",41.7151371,-87.7294373,1,OK
114,"17 Pemberton Vincentown Rd, Vincentown, NJ 08088, USA","17 Pennsylvania Dr., Vincentown, NJ 08088",39.947292,-74.69356909999999,2,OK
115,"58 Alabaster Way, Halifax, NS B3P, Canada","58 Thorne St. Alabaster, AL 35007",44.6101408,-63.6037571,1,OK
116,"1100 W Saginaw St # 630, Lansing, MI 48915, USA","364 Gonzales Rd. Lansing, MI 48910",42.7413329,-84.5675442,1,OK
117,"Ann St, Middletown, MD 21769, USA","82 Ann Drive, Frederick, MD 21701",39.479608,-77.5611375,1,OK
118,"Armstrong St, Omaha, NE 68116, USA","186 Armstrong Street Omaha, NE 68107",41.3039161,-96.1554269,1,OK
119,"833 Roosevelt Ave, Joliet, IL 60435, USA","833 N. Roosevelt Ave., Joliet, IL 60435",41.5416201,-88.10802559999999,1,OK
120,"Helen Ave, Yuba City, CA 95991, USA","76 Helen St. Yua, City, CA 95993",39.1258583,-121.6279333,1,OK
121,"Greenwood, SC, USA","9825 Ridgeview St., Greenwood, SC 29646",34.1954001,-82.1617883,1,OK
122,"Sugar Ln, Sturgis, MI 49091, USA","9675 Sugar Court, Saint Joseph, MI 49085",41.8138723,-85.5093883,2,OK
123,"Conyers, GA 30012, USA","154 Brickyard Dr., Conyers, GA 30012",33.7177663,-83.99558789999999,1,OK
124,"6614 Stratford Ln, Columbus, OH 43232, USA","758 Walnutwood Lane, Stratford, CT 06614",39.9057053,-82.87165159999999,1,OK
125,"Airport Rd, Adrian, MI 49221, USA","304 Airport St., Adrian, MI 49221",41.8817432,-84.0642261,1,OK
126,"618 Augusta Dr, Statesville, NC 28625, USA","618 Augusta Lane, Mooresville, NC 28115",35.7850779,-80.8219183,1,OK
127,"Camas, WA, USA","781 Bedford Street, Camas, WA 98607",45.5874666,-122.4045037,1,OK
128,"56 Federal St, Salem, MA 01970, USA","881 West Pennsylvania Court, Salem, MA 01970",42.5233226,-70.8966427,1,OK
129,"78 S Shore Blvd, Monroe Township, NJ 08831, USA","78 Shore Ave., Monroe Township, NJ 08831",40.37905,-74.4082736,1,OK
130,"81 Richland Ave, Dravosburg, PA 15034, USA","81 Jefferson Ave., Gibsonia, PA 15044",40.3467051,-79.8907668,1,OK
131,"Bald Eagle Point Rd, Omaha, AR 72662, USA","9337 Bald Hill Road, Omaha, NE 68107",36.4943769,-93.2936646,1,OK
132,"Valley Stream, NY 11580, USA","61 Fawn St. Valley, Stream, NY 11580",40.67103789999999,-73.706594,1,OK
133,"Saginaw, MI, USA","422 Longbranch St. Saginaw, MI 48601",43.4194699,-83.9508068,1,OK
134,"816 N Oakland St, Arlington, VA 22203, USA","23 N. Oakland Street Upper Marlboro, MD 20772",38.8813739,-77.10445709999999,1,OK
135,"319 Jackson St, Brooklyn, NY 11211, USA","319 SE. York Lane Jackson Heights, NY 11372",40.7179271,-73.9387816,3,OK
136,"W Center St, Ashtabula, OH 44004, USA","132 South Center Ave., Ashtabula, OH 44004",41.8998585,-80.701886,2,OK
137,"Miller St, Wallington, NJ 07057, USA","651 Miller Drive, Garfield, NJ 07026",40.8473517,-74.1022447,1,OK
138,"1 Coatbridge Cir, Goose Creek, SC 29445, USA","585 Warren St., Goose Creek, SC 29445",32.980348,-80.00509,1,OK
139,"Marlton, Evesham Township, NJ, USA","362 Richardson Drive, Marlton, NJ 08053",39.8912248,-74.9218324,1,OK
140,"Hill Ave, Bartlett, IL 60103, USA","274 Pumpkin Hill Ave., Bartlett, IL 60103",41.979744,-88.1726456,1,OK
141,"73 St Anthony Ave, St Paul, MN 55103, USA","73 E. Elm Lane Saint Paul, MN 55104",44.95139,-93.1064184,3,OK
142,"9905 Devonshire Dr, Huntersville, NC 28078, USA","9905 Devonshire Dr. Huntersville, NC 28078",35.4379927,-80.8743375,1,OK
143,"Osseo, MN 55369, USA","710 Franklin St. Osseo, MN 55311",45.1194091,-93.4024532,1,OK
144,"Helotes, TX 78023, USA","81 Homewood Drive, Helotes, TX 78023",29.5780056,-98.6897451,1,OK
145,"Nichols Farm Way, Ashburn, VA 20148, USA","9549 Nicolls Dr., Ashburn, VA 20147",38.9860008,-77.5181546,1,OK
146,"Andover Ln, Huntsville, AL 35811, USA","669 Andover Street, Huntsville, AL 35803",34.8232375,-86.5126762,2,OK
147,"15 Mt Pilgrim Ct, Marietta, SC 29661, USA","15 Pilgrim Dr. Greenville, NC 27834",35.046445,-82.5053298,2,OK
148,"Newark, NJ 07103, USA","88 Glenholme Street, Newark, NJ 07103",40.7383636,-74.197388,1,OK
149,"N 8th Ave, Edison, NJ, USA","8747 8th Lane Edison, NJ 08817",40.5090885,-74.4232189,1,OK
150,"White Oak Way, North Attleborough, MA 02760, USA","8732 White Ave. North Attleboro, MA 02760",41.9925953,-71.2943142,1,OK
