,formatted_address,input_address,latitude,longitude,no_of_results,status
77,"Clark Dr, Russellville, AL 35654, USA","b'69 Clark Drive, Russellville, AL'",34.4799355,-87.72618179999999,1,OK
78,"Daysland, AB T0B 1A0, Canada","b'6163 Old Subdivision, Daysland, ME'",52.8655076,-112.2616348,1,OK
79,"Lumpkin, GA 31815, USA","b'470 Thunder Green, Lumpkin, AR'",32.0509895,-84.7990901,1,OK
80,"Pennsylvania, USA","b'8868 Colonial Rise Orchard, Land of Pines, PA'",41.2033216,-77.1945247,1,OK
81,"3177 Lexington Rd, Louisville, KY 40206, USA","b'4390 Sunny Mews, Sacred Heart, KY'",38.2488798,-85.6720162,1,OK
82,"Rocky Cape TAS 7321, Australia","b'9994 Rocky Cape, Goodtown, TN'",-40.9175428,145.4782351,2,OK
83,"Missouri, USA","b'4791 Umber Panda Grounds, Chuckanut, MO'",37.9642529,-91.8318334,1,OK
84,"Gentle Cloud Court, Las Vegas, NV 89148, USA","b'9134 Gentle Cloud Avenue, Speers, MN'",36.0666862,-115.2877145,1,OK
85,"Drumright, OK 74030, USA","b'6307 Dusty Sky Bend, Drumright, TN'",35.9884013,-96.60112939999999,2,OK
86,"Prairie, ID 83647, USA","b'9592 Noble Rabbit Crest, X-Prairie, ID'",43.504894,-115.5739813,1,OK
87,"E 3rd Ave, Crossett, AR 71635, USA","b'107 East 3rd Avenue, Crossett, AR 71635'",33.1325858,-91.958084,1,OK
88,"Shady Point, OK 74956, USA","b'6628 Shady Point, Weeping Mary, MA'",35.1300975,-94.65855780000001,1,OK
89,"Contoocook, Hopkinton, NH 03229, USA","b'6140 Thunder Wood, Contoocook, MN'",43.2220234,-71.7139655,2,OK
90,"Derry, NH 03038, USA","b'91 Tower Dr., Derry, NH 03038'",42.8806437,-71.3273346,1,OK
91,"Biloxi, MS 39532, USA","b'29 E. Woodsman Street, Biloxi, MS 39532'",30.5007553,-88.96053649999999,1,OK
92,"Lancaster Rd, Greensboro, NC 27410, USA","b'19 Lancaster Street, Greensboro, NC 27405'",36.0872599,-79.8729393,1,OK
93,"Chesterton Terrace, Henderson, Auckland 0612, New Zealand","b'811 Swanson St., Chesterton, IN 46304'",-36.8807204,174.6092517,1,OK
94,"900 Ambassador Dr, Reno, NV 89523, USA","b'470 Locust Drive Reno, NV 89523'",39.5171271,-119.8882089,1,OK
95,"425 Medical Dr, Bountiful, UT 84010, USA","b'105 Mountainview St., Bountiful, UT 84010'",40.8852511,-111.8667729,1,OK
96,"Taylor, MI 48180, USA","b'41 Ashley Ave., Taylor, MI 48180'",42.2164077,-83.2720082,1,OK
97,"Wilmette Ave, Wilmette, IL 60091, USA","b'40 N. Arch Road, Wilmette, IL 60091'",42.0720302,-87.7409028,2,OK
98,"Madison St, Sulphur, LA 70663, USA","b'7139 Madison Dr. Sulphur, LA 70663'",30.2223211,-93.32974689999999,1,OK
99,"Hill Rd, Owosso, MI 48867, USA","b'838 Corona Rd. Owosso, MI 48867'",43.107943,-84.1388657,1,OK
100,"47 Caballo Rd, Cimarron, NM 87714, USA","b'59 E. Philmont Rd., Edison, NJ 08817'",36.4540472,-104.958052,2,OK
101,"Chesterfield, VA 23832, USA","b'7474 Carpenter St. Chesterfield, VA 23832'",37.3770935,-77.5049863,1,OK
102,"B-17 Alliance Museum & Restoration Hangar, 3278 25th St SE, Salem, OR 97302, USA","b'17 Gonzales Street Oak Lawn, IL 60453'",44.9084113,-123.0082676,1,OK
103,"30 Jackson Rd, Medford, NJ 08055, USA","b'17 Pennsylvania Dr., Vincentown, NJ 08088'",39.8746376,-74.8177825,2,OK
104,"Alabaster, AL 35007, USA","b'58 Thorne St. Alabaster, AL 35007'",33.2288218,-86.7919009,1,OK
105,"1100 W Saginaw St # 630, Lansing, MI 48915, USA","b'364 Gonzales Rd. Lansing, MI 48910'",42.7413329,-84.5675442,1,OK
106,"Anna's Alley, Frederick, MD 21701, USA","b'82 Ann Drive, Frederick, MD 21701'",39.4606596,-77.38933050000001,1,OK
107,"Armstrong St, Omaha, NE 68116, USA","b'186 Armstrong Street Omaha, NE 68107'",41.3039161,-96.1554269,1,OK
108,"Roosevelt Ave, Joliet, IL 60435, USA","b'833 N. Roosevelt Ave., Joliet, IL 60435'",41.5416966,-88.1123533,1,OK
109,"Helen Ave, Yuba City, CA 95991, USA","b'76 Helen St. Yua, City, CA 95993'",39.1258583,-121.6279333,1,OK
110,"Greenwood, SC, USA","b'9825 Ridgeview St., Greenwood, SC 29646'",34.1954001,-82.1617883,1,OK
111,"Sugar Ln, Sturgis, MI 49091, USA","b'9675 Sugar Court, Saint Joseph, MI 49085'",41.8138723,-85.5093883,2,OK
112,"1277 Wellbrook Cir B, Conyers, GA 30012, USA","b'154 Brickyard Dr., Conyers, GA 30012'",33.6775753,-84.00313489999999,1,OK
113,"2874 Main St, Stratford, CT 06614, USA","b'758 Walnutwood Lane, Stratford, CT 06614'",41.1995528,-73.1306731,1,OK
114,"Airport Rd, Adrian, MI 49221, USA","b'304 Airport St., Adrian, MI 49221'",41.8817432,-84.0642261,1,OK
115,"Augusta Dr, Statesville, NC 28625, USA","b'618 Augusta Lane, Mooresville, NC 28115'",35.7933995,-80.82355330000001,1,OK
116,"Camas, WA, USA","b'781 Bedford Street, Camas, WA 98607'",45.5874666,-122.4045037,1,OK
117,"56 Federal St, Salem, MA 01970, USA","b'881 West Pennsylvania Court, Salem, MA 01970'",42.5233226,-70.8966427,1,OK
118,"S Shore Blvd, Monroe Township, NJ 08831, USA","b'78 Shore Ave., Monroe Township, NJ 08831'",40.3773946,-74.4088314,1,OK
119,"Gibsonia, PA 15044, USA","b'81 Jefferson Ave., Gibsonia, PA 15044'",40.6300567,-79.9703318,1,OK
120,"Bald Eagle Point Rd, Omaha, AR 72662, USA","b'9337 Bald Hill Road, Omaha, NE 68107'",36.4943769,-93.2936646,1,OK
121,"Valley Stream, NY 11580, USA","b'61 Fawn St. Valley, Stream, NY 11580'",40.67103789999999,-73.706594,1,OK
122,"Saginaw, MI, USA","b'422 Longbranch St. Saginaw, MI 48601'",43.4194699,-83.9508068,1,OK
123,"N Oakland St, Arlington, VA 22203, USA","b'23 N. Oakland Street Upper Marlboro, MD 20772'",38.8764837,-77.1035176,2,OK
124,"113-72 Queens Blvd, Forest Hills, NY 11375, USA","b'319 SE. York Lane Jackson Heights, NY 11372'",40.7171983,-73.8353779,1,OK
125,"4217 Main Ave, Ashtabula, OH 44004, USA","b'132 South Center Ave., Ashtabula, OH 44004'",41.8691343,-80.7812326,1,OK
126,"Miller Ave, Elmwood Park, NJ 07407, USA","b'651 Miller Drive, Garfield, NJ 07026'",40.9085685,-74.12152379999999,3,OK
127,"Goose Creek, SC 29445, USA","b'585 Warren St., Goose Creek, SC 29445'",33.0026132,-79.99759159999999,1,OK
128,"Marlton, Evesham Township, NJ, USA","b'362 Richardson Drive, Marlton, NJ 08053'",39.8912248,-74.9218324,1,OK
129,"Hill Ave, Bartlett, IL 60103, USA","b'274 Pumpkin Hill Ave., Bartlett, IL 60103'",41.979744,-88.1726456,1,OK
130,"E Elm Ln, Wayzata, MN 55391, USA","b'73 E. Elm Lane Saint Paul, MN 55104'",44.9715899,-93.5031638,4,OK
131,"Devonshire Dr, Huntersville, NC 28078, USA","b'9905 Devonshire Dr. Huntersville, NC 28078'",35.4362848,-80.88096449999999,1,OK
132,"710 Franklin St, Michigan City, IN 46360, USA","b'710 Franklin St. Osseo, MN 55311'",41.7148113,-86.90014420000001,2,OK
133,"81 Homewood Ave, Napa, CA 94558, USA","b'81 Homewood Drive, Helotes, TX 78023'",38.294754,-122.3067876,2,OK
134,"20147 Nichols Farm Way, Ashburn, VA 20148, USA","b'9549 Nicolls Dr., Ashburn, VA 20147'",38.9863076,-77.518192,1,OK
135,"Andover Ln, Huntsville, AL 35811, USA","b'669 Andover Street, Huntsville, AL 35803'",34.8232375,-86.5126762,1,OK
136,"Mt Pilgrim Church Rd, Marietta, SC 29661, USA","b'15 Pilgrim Dr. Greenville, NC 27834'",35.0484164,-82.50528109999999,2,OK
137,"Newark, NJ 07103, USA","b'88 Glenholme Street, Newark, NJ 07103'",40.7383636,-74.197388,1,OK
138,"N 8th Ave, Edison, NJ, USA","b'8747 8th Lane Edison, NJ 08817'",40.5090885,-74.4232189,1,OK
139,"White Oak Way, North Attleborough, MA 02760, USA","b'8732 White Ave. North Attleboro, MA 02760'",41.9925953,-71.2943142,1,OK
